epoch,loss,val_loss
0,0.015556380239773026,0.015331380085305735
1,0.003507033851817071,0.0031609400050590063
2,0.0016657985212054842,0.002806316362640406
3,0.0014666467087979898,0.0019769789939132086
4,0.0014205438930644221,0.002076566705107004
5,0.0012390266773054496,0.0017352456622628618
6,0.001244841114424915,0.0016627632564771321
7,0.0011893109270461216,0.001630346974814208
8,0.0011172928962160037,0.0012586440405036282
9,0.0011034530315082,0.0011532725006070583
10,0.0010050363844666516,0.0010636853348574625
11,0.0010202383118520628,0.0012376349974575157
12,0.0009633449670292426,0.0013699383558452931
13,0.0009305035246236787,0.0015761745825169354
14,0.0008853063234556382,0.0019923269120119907
15,0.0008628902591704845,0.0019998731175506048
16,0.0008405197817066928,0.0020945385476807132
17,0.000822365936383303,0.00205677343025373
18,0.0007721942050386445,0.0026519587128110717
19,0.0007594680739425785,0.003008136527676149
20,0.0007492762961261204,0.003385208450976386
21,0.0006834243773061347,0.0027310729948273067
22,0.0006620527470864001,0.002611936907937086
23,0.0006601203852876727,0.0028578171111482385
24,0.0006471644739449825,0.0032013801831935244
