epoch,loss,val_loss
0,0.016399149758654728,0.03945300063723527
1,0.0068048083308253965,0.012194468144597896
2,0.0026373874584969402,0.00616607331967851
3,0.0021196010052433245,0.003971673718778594
4,0.0018107741355091423,0.003354264829420786
5,0.0016938568045831333,0.0027687229937381585
6,0.001575769315732341,0.002481006103260049
7,0.001403051845219907,0.002197563858691651
8,0.0013009617494655315,0.002522499027156086
9,0.0012253753153304233,0.002733410529746085
10,0.001184889157695241,0.0023795415989511905
11,0.0010833829775137131,0.002610775497968836
12,0.0010696272194848483,0.002465319108791043
13,0.0010019092367612482,0.002571862385861202
14,0.0009390023923416153,0.0026618055292013144
15,0.0009216536562101563,0.0026819571012310917
16,0.0008607662075197996,0.0024548909150325926
17,0.0008386100688289803,0.0019186876093044702
18,0.0008110567045950345,0.0022822002618019775
19,0.0008165469906561773,0.0022407658776126696
20,0.0008185073494427154,0.002179102642551644
21,0.0007839248509472344,0.0020188637140296016
22,0.00076250989457277,0.0018935018394372223
23,0.0007261178869459256,0.002120919044019127
24,0.0007123051506920492,0.0019503995308428677
